國際債券(僅售予專業投資人者)
International Bond(Pofessional Investors Only)
債券代號,債券簡稱,發行人,發行日期,到期日期,年期,計價幣別,發行總額,票面利率,隱含利率,提前贖回權,贖回型態,承銷商或財務顧問,流動量提供者,國際編碼,發行資料,是否具損失吸收能力
Bond Code,Short Name,Issuer,Issuing Date,Maturity Date,Tenor,Currency Denomination,Amount of Issuance,Coupon(%),IRR(%),Early Redemption,Non-Call Period(Year) x Call Frequency(Year),Securities Underwriter or Financial Consulting Company,Liquidity Provider,ISIN,Bond Database,TLAC/bali-in eligible
"F01011","P18KEXIM2","THE EXPORT-IMPORT BANK OF KOREA
The Export-Import Bank of Korea","2018/01/31","2021/02/28","3.08","CNY","270,000,000","4.660","0","Not Applicable","Not Applicable","Taipei Fubon BankChinatrust BankDeutscheBankAG,TPEE.SUN Bank","DeutscheBankAG,TPE","XS1757816688","https://emops.twse.com.tw/server-java/t113sb02_e?step=1&colorchg=1&code=E0003&ym_date=201801&TK=1&BLGTSM=&search_code=&excel=","N/A"
"F01012","P18KEXIM3","THE EXPORT-IMPORT BANK OF KOREA
The Export-Import Bank of Korea","2018/03/16","2021/03/16","3","CNY","1,500,000,000","4.680","0","Not Applicable","Not Applicable","sell the bond itselfStandard CharteredE.SUN BankCapital Securities","Capital Securities","XS1789711584","https://emops.twse.com.tw/server-java/t113sb02_e?step=1&colorchg=1&code=E0003&ym_date=201803&TK=1&BLGTSM=&search_code=&excel=","N/A"
"F01007","P16KEXIM1","THE EXPORT-IMPORT BANK OF KOREA
The Export-Import Bank of Korea","2016/03/17","2021/03/17","5","USD","350,000,000","1.642","0","Not Applicable","Not Applicable","Mega BankYuanta Securities CoKGI SecuritiesPresident SecuritiesStandard CharteredE.SUN Bank","Not Applicatible","XS1373988853","https://emops.twse.com.tw/server-java/t113sb02_e?step=1&colorchg=1&code=E0003&ym_date=201603&TK=1&BLGTSM=&search_code=&excel=","N/A"
"F10002","P16ABN1B","ABN AMRO Bank N.V.
ABN AMRO Bank N.V.","2016/03/17","2021/03/17","5","USD","145,000,000","1.992","0","Not Applicable","Not Applicable","Mega BankPresident SecuritiesStandard CharteredE.SUN Bank","Not Applicatible","XS1377968307","https://emops.twse.com.tw/server-java/t113sb02_e?step=1&colorchg=1&code=E0076&ym_date=201603&TK=1&BLGTSM=&search_code=&excel=","N/A"
"F02714","P16MS4","Morgan Stanley
Morgan Stanley","2016/03/18","2021/03/18","5","AUD","93,000,000","3.400","0","Not Applicable","Not Applicable","Mega BankYuanta Securities CoE.SUN BankBank of Taiwan","Not Applicatible","XS1270665406","https://emops.twse.com.tw/server-java/t113sb02_e?step=1&colorchg=1&code=E0015&ym_date=201603&TK=1&BLGTSM=&search_code=&excel=","Yes"
"F02624","P18CACIB3","CREDIT AGRICOLE CORPORATE AND INVESTMENT BANK
Credit Agricole Corporate and Investment Bank","2018/03/22","2021/03/22","3","CNY","450,000,000","4.600","0","Not Applicable","Not Applicable","Chinatrust BankYuanta BankE.SUN Bank","Yuanta Securities Co","XS1334474159","https://emops.twse.com.tw/server-java/t113sb02_e?step=1&colorchg=1&code=E0014&ym_date=201803&TK=1&BLGTSM=&search_code=&excel=","N/A"
"F10201","P16ANZ1","Australia and New Zealand Banking Group Limited
Australia and New Zealand Banking Group Limited","2016/03/23","2021/03/23","5","USD","245,000,000","1.8246","0","Not Applicable","Not Applicable","sell the bond itselfMega Bank","Not Applicatible","XS1379135699","https://emops.twse.com.tw/server-java/t113sb02_e?step=1&colorchg=1&code=E0078&ym_date=201603&TK=1&BLGTSM=&search_code=&excel=","N/A"
"F10305","P18QNBF2","QNB Finance Ltd
QNB Finance Ltd","2018/03/26","2021/03/26","3","CNY","885,000,000","5.350","0","Not Applicable","Not Applicable","KGI SecuritiesE.SUN Bank","KGI Securities","XS1793302966","https://emops.twse.com.tw/server-java/t113sb02_e?step=1&colorchg=1&code=E0080&ym_date=201803&TK=1&BLGTSM=&search_code=&excel=","N/A"
"F06802","P18KEC1","Korea Expressway Corporation
Korea Expressway Corporation","2018/03/28","2021/03/28","3","CNY","1,300,000,000","4.730","0","Not Applicable","Not Applicable","Cathay United BankMega BankYuanta Securities CoKGI BankE.SUN BankCapital Securities","Yuanta Securities Co","XS1793245124","https://emops.twse.com.tw/server-java/t113sb02_e?step=1&colorchg=1&code=E0049&ym_date=201803&TK=1&BLGTSM=&search_code=&excel=","N/A"
